"T000366" "T000844" "T001390" "T001684" "T010422" "T010499" "T010511" "T010593" "T010903" "T010910" "T011021" "T011155" "T011600" "T020108" "T020198" "T020686" "T021027" "T021379" "T021921" "T022004" "T022426" "T030259" "T030482" "T030739" "T030792" "T031050" "T031081" "T031126" "T031173" "T031309" "T031415" "T040027" "T040092" "T040134" "T040227" "T040407" "T040848" "T040912" "T040932" "T041496" "T041551" "T050360" "T050525" "T051007" "T051030" "T051039" "T051261" "T060509" "T061108" "T061164" "T061273" "T061475" "T070662" "T070778" "T071001" "T071067" "T071257" "T071299" "T071355" "T071394" "T071459" "T071540" "T080185" "T080474" "T080496" "T080760" "T080881" "T080992" "T081802" "T081875" "T081952" "T090059" "T090547" "T092087" "T092089" "T092215" "T100243" "T100349" "T100533" "T100676" "T100992" "T110379" "T110492" "T110792" "T970146" "T970191" "T970243" "T970600" "T970855" "T980065" "T980106" "T980282" "T980430" "T980682" "T990288" "T990447" "T990483" "T990504" "T990809" "T990852"
"PGRMC1" "5572" "3991" "4609" "5571" "3310" "5566" "6091" "6767" "5473" "6509" "5883" "4607" "4583" "4207" "5233" "2266" "4626" "2261" "4423" "5424" "5715" "4252" "5280" "2099" "2480" "3322" "4800" "6602" "3836" "3788" "2507" "2622" "6105" "3592" "6000" "4799" "6536" "1754" "2857" "2412" "2587" "2581" "5648" "3713" "3774" "4713" "4419" "4685" "2501" "7212" "4896" "4116" "7159" "3691" "4233" "3421" "3309" "5008" "4710" "4672" "3530" "8171" "2426" "6897" "4076" "4176" "1718" "6380" "2783" "2969" "6583" "3818" "5014" "7111" "4365" "6746" "6489" "8098" "3668" "6908" "7608" "4592" "5805" "6766" "3989" "4808" "4569" "5394" "4502" "2285" "3953" "3274" "4343" "4700" "4114" "3667" "5114" "6037" "2986" "7931"
"CYP2C8" "17873" "22557" "9720" "19732" "9487" "10766" "15973" "8029" "10360" "18096" "13795" "13383" "19427" "15992" "11797" "8523" "14639" "12576" "21889" "16012" "16675" "8347" "12862" "7113" "137" "9861" "10735" "6767" "11302" "10358" "8203" "7991" "18689" "9325" "13350" "18104" "16788" "4965" "9536" "9446" "4012" "8967" "15375" "11125" "11637" "9541" "7580" "12115" "4908" "21399" "10637" "13962" "16046" "5778" "8893" "10828" "10728" "5441" "14855" "11917" "7354" "25397" "10551" "17265" "16835" "11309" "3149" "21372" "6030" "6459" "19166" "12266" "14211" "32225" "16622" "15604" "11170" "17925" "9606" "10512" "17175" "8249" "19458" "13629" "11346" "17581" "15138" "11837" "11263" "6086" "21583" "12628" "11705" "12205" "8362" "10003" "10328" "10194" "2557" "18482"
"CYP2A7" "1267" "1338" "305" "1750" "397" "1423" "322" "1091" "3159" "1364" "979" "403" "972" "1012" "197" "2715" "813" "1022" "1527" "2030" "1224" "555" "1261" "44" "2" "881" "549" "432" "294" "228" "251" "863" "718" "658" "471" "1719" "420" "241" "1316" "2791" "82" "787" "1574" "152" "636" "149" "959" "913" "554" "655" "395" "48" "3312" "74" "496" "90" "64" "238" "331" "485" "251" "4750" "106" "2138" "197" "223" "210" "202" "92" "695" "1519" "280" "1616" "2747" "760" "192" "72" "597" "134" "122" "5038" "582" "325" "1285" "313" "268" "502" "2375" "3172" "188" "10549" "256" "49" "1453" "1993" "220" "66" "154" "144" "719"
"CYP2A13" "38" "24" "15" "71" "20" "29" "22" "46" "80" "31" "50" "34" "14" "58" "8" "44" "13" "37" "53" "51" "55" "15" "29" "1" "0" "9" "22" "23" "14" "10" "6" "22" "40" "14" "18" "41" "19" "8" "40" "130" "7" "18" "71" "19" "15" "9" "27" "17" "9" "47" "14" "3" "131" "4" "11" "7" "7" "4" "13" "14" "3" "92" "3" "16" "8" "8" "8" "16" "5" "6" "35" "17" "75" "85" "57" "19" "7" "55" "10" "4" "48" "15" "19" "57" "11" "38" "22" "47" "28" "8" "226" "21" "2" "51" "82" "22" "10" "21" "3" "27"
"CYP2A6" "14360" "12824" "7505" "18319" "9495" "12544" "7176" "17222" "16682" "12038" "12679" "11257" "12745" "13948" "4217" "6656" "7831" "9566" "5339" "16582" "12966" "8834" "20424" "2406" "53" "8643" "10236" "10744" "7715" "4456" "3086" "6906" "15188" "5494" "7738" "6151" "10591" "2522" "10599" "7631" "3714" "7383" "17300" "12608" "5261" "6239" "13303" "12090" "5470" "10646" "8848" "2558" "12617" "5790" "10237" "5366" "4201" "5329" "8012" "5601" "7289" "16701" "2446" "10876" "3998" "8464" "4104" "9102" "3200" "5467" "13400" "7290" "10341" "20123" "11286" "6810" "893" "18109" "4721" "7447" "13342" "7548" "8466" "15873" "4234" "12558" "19010" "16632" "7054" "9560" "17593" "10595" "1607" "7700" "5931" "9410" "4810" "7026" "1235" "13268"
"CYP2B6" "12314" "4343" "3813" "4390" "7787" "2968" "3199" "7877" "7228" "14002" "6868" "4811" "10835" "4587" "5160" "20867" "2737" "9366" "6792" "6597" "7868" "3446" "4573" "2217" "24" "2943" "4261" "4191" "4114" "3891" "3396" "3245" "13069" "1983" "3685" "1767" "12628" "1125" "5261" "22562" "4064" "3572" "13870" "6913" "3582" "1566" "5138" "4848" "1068" "4285" "3714" "2036" "10244" "4569" "5581" "3258" "3425" "2044" "3933" "3551" "5748" "6551" "4790" "5033" "18028" "6584" "5483" "5036" "4443" "2153" "4039" "5704" "5253" "8455" "3096" "2319" "3408" "10757" "4513" "2876" "3885" "3108" "7366" "2570" "5015" "3588" "8391" "5143" "6405" "2879" "18832" "8264" "3706" "6216" "5549" "1980" "4807" "3073" "795" "12969"
"CYP2B7P1" "500" "1475" "278" "1311" "1132" "587" "409" "1161" "1484" "2083" "1070" "338" "1200" "894" "480" "7044" "845" "2712" "652" "982" "1760" "1270" "847" "217" "3" "585" "606" "357" "455" "849" "442" "1183" "335" "537" "511" "1190" "1273" "192" "1801" "2030" "503" "1041" "2039" "449" "359" "432" "272" "740" "364" "328" "651" "319" "2013" "466" "1051" "418" "577" "464" "414" "920" "846" "2735" "210" "1841" "476" "672" "856" "45" "222" "788" "333" "780" "2234" "1921" "1090" "170" "487" "795" "388" "200" "1037" "534" "402" "742" "889" "482" "1373" "842" "1347" "390" "3114" "1821" "138" "635" "1010" "528" "437" "441" "60" "476"
"FMO3" "10329" "5047" "4449" "4166" "3189" "7100" "8522" "7269" "7245" "12164" "8004" "4305" "6952" "5705" "6923" "2818" "6397" "5397" "7780" "6687" "7649" "4783" "4347" "1372" "223" "4725" "5840" "5457" "4855" "5942" "3447" "5189" "9039" "2907" "7840" "3155" "6113" "2268" "3258" "464" "1817" "3402" "7923" "3406" "3869" "5486" "6663" "4869" "2006" "6441" "3808" "5002" "8253" "5986" "8649" "4284" "1940" "3303" "6230" "4514" "3850" "9786" "3630" "11726" "2552" "3874" "1293" "9504" "2729" "2064" "9011" "5786" "6912" "7385" "6987" "7443" "8090" "11593" "6786" "7941" "6375" "4628" "11284" "9938" "3419" "4962" "5520" "5138" "3551" "3147" "3729" "2549" "6773" "7788" "4510" "4545" "5090" "9494" "2548" "10941"
"ZGPAT" "1023" "1141" "459" "1197" "496" "2011" "1278" "1497" "665" "1056" "1772" "708" "934" "1831" "450" "236" "1560" "945" "994" "1266" "945" "1237" "1499" "870" "282" "1557" "1167" "452" "1058" "1557" "492" "1549" "1113" "922" "1438" "1009" "465" "388" "733" "1606" "594" "813" "807" "623" "1149" "667" "466" "1276" "501" "1140" "1034" "821" "1134" "682" "635" "752" "254" "311" "888" "1202" "769" "995" "417" "1242" "325" "610" "215" "1709" "437" "591" "1380" "1078" "510" "1421" "675" "1103" "1037" "1106" "614" "810" "1504" "1398" "1092" "1209" "685" "1081" "1167" "436" "1046" "814" "750" "879" "407" "769" "697" "727" "457" "923" "321" "1296"
"CYP7A1" "272" "231" "391" "172" "20" "72" "966" "323" "42" "1052" "70" "57" "52" "29" "41" "41" "1227" "20" "540" "386" "52" "116" "73" "12" "238" "879" "59" "1" "86" "12" "40" "119" "72" "143" "279" "11" "99" "6" "159" "13" "10" "213" "2383" "189" "31" "266" "34" "59" "10" "153" "61" "77" "317" "183" "109" "11" "4" "123" "291" "40" "13" "194" "22" "72" "9" "1" "12" "866" "39" "17" "65" "109" "105" "32" "44" "212" "12" "478" "191" "319" "191" "78" "217" "721" "0" "114" "50" "13" "75" "31" "139" "129" "0" "65" "70" "129" "109" "529" "61" "236"
"SLC10A1" "4020" "4046" "2354" "4485" "2286" "3727" "4755" "4474" "4937" "4117" "4532" "4077" "3960" "3489" "3548" "1279" "2626" "1907" "1878" "3201" "3450" "2903" "2841" "1067" "41" "2620" "2895" "3240" "2278" "2332" "1364" "2635" "3430" "2529" "3861" "1823" "3459" "795" "1761" "1053" "2274" "1785" "3897" "2729" "2331" "1488" "2459" "2946" "1307" "5640" "3720" "3295" "4082" "1915" "2794" "2688" "401" "2441" "3840" "2972" "2406" "5173" "1960" "5243" "2458" "2345" "614" "4504" "1019" "1027" "4697" "2557" "3535" "5691" "2628" "4541" "3846" "4748" "2837" "3848" "5694" "1859" "4034" "5208" "1664" "3974" "4055" "2699" "3313" "2054" "2747" "2313" "2328" "4157" "2333" "2579" "2142" "3379" "794" "5396"
"AKR1D1" "4420" "2883" "1828" "1490" "1016" "2834" "3397" "2954" "2263" "6480" "2675" "1499" "1780" "2340" "1347" "407" "3814" "1714" "1973" "2884" "4060" "2271" "2100" "743" "151" "2254" "1574" "977" "2559" "1757" "991" "1470" "4479" "2070" "4627" "373" "1775" "1028" "985" "1101" "1251" "1503" "3302" "2018" "2400" "1509" "2084" "2746" "682" "2419" "2343" "2789" "5767" "1420" "1803" "1862" "328" "1059" "3769" "2002" "1431" "2526" "987" "4671" "1089" "1776" "362" "5153" "435" "601" "6842" "2303" "2412" "5058" "1727" "3345" "3081" "9472" "1644" "2716" "3438" "3569" "4186" "3195" "667" "2744" "3659" "1591" "1224" "1094" "2765" "1454" "1383" "3243" "1601" "1761" "2040" "2434" "507" "4390"
