"T000366" "T000844" "T001390" "T001684" "T010422" "T010499" "T010511" "T010593" "T010903" "T010910" "T011021" "T011155" "T011600" "T020108" "T020198" "T020686" "T021027" "T021379" "T021921" "T022004" "T022426" "T030259" "T030482" "T030739" "T030792" "T031050" "T031081" "T031126" "T031173" "T031309" "T031415" "T040027" "T040092" "T040134" "T040227" "T040407" "T040848" "T040912" "T040932" "T041496" "T041551" "T050360" "T050525" "T051007" "T051030" "T051039" "T051261" "T060509" "T061108" "T061164" "T061273" "T061475" "T070662" "T070778" "T071001" "T071067" "T071257" "T071299" "T071355" "T071394" "T071459" "T071540" "T080185" "T080474" "T080496" "T080760" "T080881" "T080992" "T081802" "T081875" "T081952" "T090059" "T090547" "T092087" "T092089" "T092215" "T100243" "T100349" "T100533" "T100676" "T100992" "T110379" "T110492" "T110792" "T970146" "T970191" "T970243" "T970600" "T970855" "T980065" "T980106" "T980282" "T980430" "T980682" "T990288" "T990447" "T990483" "T990504" "T990809" "T990852"
"HNF4A" "1815" "1715" "902" "999" "640" "1305" "1626" "2060" "1122" "1986" "1475" "908" "1195" "953" "1159" "934" "1352" "828" "1236" "1147" "1134" "913" "1339" "628" "1227" "755" "850" "886" "813" "738" "398" "636" "1571" "664" "1398" "1217" "1798" "402" "482" "290" "985" "607" "1436" "908" "821" "806" "658" "1374" "441" "1942" "975" "1477" "1903" "664" "1233" "1007" "651" "733" "1432" "1016" "796" "1488" "535" "1502" "1432" "1005" "452" "1735" "814" "793" "1108" "1238" "1875" "1490" "1807" "2096" "1106" "2182" "838" "1223" "1120" "774" "1487" "2499" "956" "1469" "1462" "2058" "633" "555" "763" "572" "995" "1216" "861" "955" "1200" "918" "320" "2628"
"ALDH1L1" "7454" "6661" "5820" "8159" "2121" "3953" "6728" "6961" "5686" "4290" "5531" "5047" "5443" "6947" "3895" "1838" "6198" "2658" "9625" "5775" "4759" "3777" "6572" "2548" "1155" "3141" "4508" "1634" "4054" "3122" "1171" "1803" "4589" "3538" "5620" "1263" "5645" "2448" "3432" "3127" "6542" "3585" "10957" "7991" "6256" "3156" "6134" "5591" "1958" "4050" "5069" "4480" "8596" "4081" "2875" "2591" "2507" "3583" "5325" "5537" "2880" "3276" "2936" "5557" "3107" "8147" "1360" "6423" "2379" "2701" "5036" "5990" "2336" "6261" "3955" "5896" "4560" "7806" "4171" "6522" "4722" "6910" "7383" "6594" "4257" "8122" "8506" "5601" "4493" "3956" "7508" "5552" "2687" "6585" "4889" "4835" "4069" "4026" "997" "5692"
"FOXA2" "440" "328" "364" "301" "233" "428" "187" "571" "340" "458" "391" "352" "390" "367" "406" "289" "677" "402" "406" "347" "480" "302" "547" "135" "864" "420" "370" "500" "391" "150" "259" "319" "410" "228" "366" "267" "501" "144" "194" "104" "302" "187" "446" "309" "271" "212" "365" "527" "195" "526" "280" "148" "409" "267" "329" "268" "277" "382" "328" "199" "208" "179" "376" "410" "524" "390" "165" "447" "155" "263" "365" "393" "415" "460" "262" "211" "484" "541" "225" "352" "325" "324" "336" "283" "352" "436" "496" "524" "317" "300" "323" "244" "364" "308" "330" "414" "263" "222" "227" "510"
"MAT1A" "25659" "20537" "21153" "21969" "9267" "20819" "21032" "24667" "15138" "30445" "22438" "14570" "23269" "24215" "11621" "5666" "24319" "22146" "12705" "16494" "17373" "16847" "23982" "11573" "867" "12224" "11979" "13015" "18674" "15409" "5424" "9445" "21402" "20945" "20832" "13346" "17540" "9301" "10782" "7524" "15404" "9862" "14578" "18530" "20438" "12029" "14623" "14815" "10416" "15549" "16028" "24948" "25494" "14526" "13713" "17214" "15228" "13328" "19713" "16175" "13170" "32463" "14293" "21431" "12192" "24685" "8987" "23724" "12028" "7776" "23950" "14005" "11352" "24569" "16074" "15669" "22008" "34163" "10907" "30590" "30156" "26091" "21359" "22678" "12397" "22048" "26963" "17933" "10915" "13950" "17576" "8211" "19548" "16159" "13521" "14491" "17726" "15728" "1952" "32053"
"CYP1A1" "1186" "4408" "259" "114" "126" "245" "1252" "3352" "481" "613" "492" "373" "786" "1963" "278" "8" "1411" "85" "30" "108" "469" "276" "63" "324" "12" "52" "742" "43" "1171" "376" "94" "111" "174" "647" "1120" "41" "408" "338" "655" "94" "650" "294" "299" "98" "372" "60" "87" "375" "154" "478" "1060" "556" "435" "115" "120" "802" "11" "129" "88" "600" "242" "204" "695" "1435" "1788" "1805" "147" "260" "19" "137" "231" "1515" "1195" "488" "1045" "562" "178" "59" "113" "213" "1736" "289" "323" "662" "1192" "1442" "1171" "485" "208" "57" "58" "189" "36" "245" "215" "369" "40" "330" "58" "2142"
"SLC27A5" "6101" "6796" "5866" "7885" "3246" "8469" "8224" "9158" "8036" "6817" "8427" "5108" "7714" "10927" "3859" "1506" "7309" "5008" "2157" "5862" "6357" "6395" "9244" "5369" "326" "5900" "4834" "4502" "6679" "6614" "2126" "2899" "6702" "5467" "6332" "4237" "5560" "2541" "4797" "6206" "5060" "4067" "4449" "6170" "7269" "3382" "4198" "7052" "4019" "5062" "5688" "5131" "7475" "4346" "5269" "4633" "2918" "3713" "5943" "6370" "4774" "6576" "3574" "7732" "4330" "7755" "2899" "7157" "4008" "4281" "7267" "7999" "4773" "8085" "5645" "5369" "6402" "8903" "4215" "5468" "10046" "6188" "7522" "8811" "4632" "8077" "9517" "4531" "7070" "4752" "5322" "5027" "2881" "6077" "4318" "4648" "4274" "3827" "1785" "8419"
"SLC16A2" "1129" "1216" "784" "1139" "689" "1008" "1541" "1471" "1279" "1409" "1153" "955" "1283" "886" "999" "257" "961" "624" "681" "756" "1035" "833" "947" "581" "449" "795" "807" "1040" "784" "843" "301" "375" "1275" "838" "1854" "695" "731" "349" "529" "226" "360" "461" "1016" "909" "740" "645" "823" "820" "367" "1184" "943" "1245" "1714" "825" "880" "829" "365" "718" "1485" "890" "497" "1286" "617" "1379" "686" "751" "262" "2040" "495" "395" "1164" "902" "1135" "1291" "860" "1560" "998" "2165" "933" "1627" "1589" "949" "1662" "1417" "592" "1496" "1420" "634" "559" "515" "584" "385" "1001" "1005" "500" "713" "838" "1009" "359" "1490"
"CYP4F2" "2548" "1776" "1518" "1605" "1065" "1883" "2046" "2326" "1397" "2287" "1755" "1326" "1495" "1275" "1314" "437" "1451" "1124" "1251" "1422" "2104" "1651" "1766" "419" "44" "1481" "1147" "1483" "1122" "1396" "622" "840" "1917" "1388" "2447" "1510" "1124" "765" "824" "492" "532" "761" "2363" "1200" "1061" "1357" "2347" "1259" "742" "1969" "949" "940" "2971" "1429" "1904" "832" "482" "1220" "1543" "1174" "726" "1796" "954" "1593" "844" "947" "489" "2781" "792" "776" "2207" "1424" "3403" "1688" "1385" "1671" "1712" "3996" "1474" "2201" "2663" "1630" "2048" "2505" "1136" "1737" "2575" "1397" "947" "764" "959" "656" "1161" "1317" "1273" "1253" "903" "1296" "646" "1986"
"CLU" "38383" "46283" "45848" "50502" "32210" "50762" "52067" "71105" "58356" "40878" "59460" "34153" "45345" "47227" "55426" "14641" "36520" "21253" "30367" "35926" "44117" "34952" "62416" "17744" "4996" "30907" "38083" "36490" "32891" "36490" "11401" "14449" "35383" "45740" "51784" "39051" "59843" "15018" "24012" "25568" "27158" "21867" "36335" "42755" "30084" "34824" "35031" "36453" "18126" "43550" "35018" "45484" "42911" "39029" "41135" "27590" "24072" "36107" "36919" "31900" "31404" "55718" "30470" "53249" "35699" "39638" "15970" "60274" "26545" "21220" "42924" "50820" "39180" "47198" "43505" "51990" "46160" "68046" "32985" "80338" "59203" "33486" "51789" "59881" "40399" "45919" "62118" "31382" "32398" "24544" "25375" "22329" "51007" "37364" "30464" "32857" "44383" "36178" "20573" "46949"
"NCOR1" "986" "976" "1088" "821" "1442" "862" "1168" "1205" "1217" "1108" "1234" "1529" "1423" "953" "1257" "815" "1342" "776" "857" "999" "660" "571" "1337" "410" "1083" "762" "626" "1055" "676" "525" "493" "439" "2055" "829" "1557" "1079" "1259" "454" "504" "312" "581" "314" "782" "1148" "652" "844" "807" "1101" "649" "1268" "947" "1423" "1071" "513" "1059" "1079" "1623" "814" "1672" "605" "384" "1185" "1197" "1010" "1411" "998" "288" "1429" "754" "907" "951" "668" "843" "1374" "642" "1015" "1421" "1149" "610" "2771" "1281" "501" "1061" "894" "706" "1626" "1502" "948" "858" "590" "876" "424" "1769" "981" "481" "1329" "1015" "1008" "398" "1482"
"SELENBP1" "1965" "1552" "1443" "1181" "679" "2925" "2401" "1684" "1507" "2580" "2217" "1333" "2060" "1687" "1300" "980" "2270" "7082" "1862" "1930" "2679" "1497" "1765" "613" "1469" "2010" "2587" "1704" "1836" "1870" "842" "1337" "2697" "1643" "2047" "1674" "1201" "946" "916" "403" "866" "1167" "1560" "1169" "1930" "1663" "1473" "2140" "1257" "1619" "962" "1202" "2433" "1866" "1757" "1325" "940" "1590" "1574" "1720" "1365" "2153" "926" "2020" "612" "1360" "670" "2765" "1062" "735" "3815" "2462" "2351" "1815" "1640" "2006" "1793" "3835" "1141" "1927" "3210" "2912" "2712" "2510" "1070" "2241" "1710" "1791" "1190" "1486" "1103" "889" "1382" "1976" "1174" "1411" "1249" "1133" "1002" "2802"
"NR1I2" "823" "498" "331" "669" "143" "853" "698" "445" "325" "993" "648" "300" "537" "608" "205" "681" "674" "1110" "727" "632" "939" "622" "434" "291" "153" "544" "969" "305" "562" "668" "314" "566" "1152" "352" "709" "819" "331" "290" "374" "118" "556" "471" "424" "255" "437" "498" "382" "591" "386" "672" "301" "346" "698" "354" "599" "465" "200" "501" "592" "635" "417" "1132" "162" "911" "211" "376" "142" "898" "209" "287" "1157" "614" "554" "588" "676" "496" "746" "1271" "293" "509" "705" "952" "701" "902" "366" "543" "447" "652" "325" "341" "443" "464" "461" "792" "218" "390" "389" "483" "120" "1129"
"CYP8B1" "4904" "5319" "4201" "6504" "3029" "7503" "7029" "7532" "7213" "6695" "8797" "5965" "5548" "4956" "7420" "2498" "3443" "2976" "6924" "5451" "7384" "4330" "5823" "2931" "303" "3161" "4587" "5243" "3718" "4830" "1904" "2451" "6200" "4167" "5321" "4115" "6386" "1618" "2204" "587" "3005" "2849" "5884" "6607" "3405" "4733" "6196" "3477" "1937" "8704" "5241" "4612" "7586" "4476" "8057" "4390" "7313" "5562" "4973" "4870" "4318" "14517" "4423" "12756" "3919" "4281" "2359" "9357" "2437" "1409" "7691" "4472" "5965" "7360" "5231" "8726" "8760" "10164" "5263" "8063" "13366" "4598" "6400" "10133" "2759" "6083" "7030" "5675" "4198" "2786" "2191" "2773" "8724" "6711" "4787" "4193" "7700" "6168" "3161" "7750"
"PRDX6" "3893" "5965" "4562" "5981" "3105" "4142" "5391" "4551" "5387" "5529" "6364" "3798" "5604" "4820" "4325" "2444" "4022" "3836" "8232" "5153" "7702" "3584" "7777" "3225" "4585" "2899" "5593" "4299" "3439" "4299" "1717" "2375" "4432" "4038" "6063" "4066" "4767" "1696" "2890" "2384" "8391" "3335" "4296" "5820" "4358" "2701" "4598" "4478" "3578" "5160" "4766" "5297" "5095" "3524" "3876" "3908" "3601" "4874" "4305" "4227" "3810" "9884" "3700" "6857" "3548" "5200" "2162" "4835" "2781" "3401" "6246" "4556" "3506" "8109" "3526" "4323" "7272" "7478" "3535" "5056" "6585" "5069" "4871" "4307" "3693" "7041" "6923" "6441" "6612" "5193" "3320" "4224" "4132" "4462" "3087" "4553" "3050" "4353" "3218" "8030"
"PPARG" "84" "104" "107" "52" "153" "55" "85" "86" "189" "96" "101" "49" "157" "56" "89" "89" "66" "39" "119" "56" "78" "53" "165" "20" "193" "62" "35" "100" "85" "44" "48" "31" "135" "54" "61" "183" "212" "27" "125" "34" "39" "39" "102" "234" "81" "122" "94" "44" "40" "117" "77" "87" "156" "55" "87" "86" "169" "115" "115" "67" "39" "94" "116" "59" "91" "104" "23" "100" "91" "183" "62" "80" "91" "126" "151" "89" "49" "146" "92" "106" "56" "26" "293" "89" "121" "76" "191" "47" "46" "76" "45" "52" "129" "53" "88" "80" "130" "91" "29" "77"
